	Unnamed							
Time	ax	ay	az	qx	qy	qz	qw
5,808	1,522	0,028	-1,533	0,377	-0,480	0,791	0,041
5,824	1,000	0,006	-1,460	0,412	-0,470	0,777	0,062
5,840	0,629	0,032	-1,533	0,434	-0,465	0,766	0,079
5,856	0,269	0,044	-1,683	0,460	-0,460	0,752	0,098
5,872	-0,057	0,022	-1,900	0,489	-0,455	0,733	0,119
5,888	-0,370	-0,038	-2,159	0,522	-0,449	0,709	0,141
5,904	-0,711	-0,128	-2,403	0,556	-0,442	0,682	0,165
5,920	-1,112	-0,217	-2,570	0,592	-0,433	0,650	0,190
5,936	-1,560	-0,271	-2,615	0,628	-0,421	0,617	0,217
5,952	-2,021	-0,289	-2,526	0,662	-0,404	0,581	0,245
5,968	-2,507	-0,320	-2,273	0,698	-0,380	0,540	0,277
5,984	-2,847	-0,429	-1,898	0,727	-0,351	0,505	0,306
6,000	-3,018	-0,649	-1,384	0,752	-0,315	0,474	0,334
6,016	-2,964	-0,947	-0,729	0,772	-0,270	0,448	0,362
6,032	-2,650	-1,205	0,093	0,787	-0,217	0,428	0,388
6,048	-2,065	-1,231	1,070	0,796	-0,155	0,414	0,412
6,064	-1,255	-0,897	2,090	0,799	-0,089	0,405	0,432
6,080	-0,291	-0,266	2,949	0,800	-0,021	0,398	0,447
6,096	0,714	0,394	3,405	0,800	0,041	0,388	0,457
6,112	1,568	0,793	3,340	0,802	0,094	0,372	0,463
6,128	2,111	0,815	2,849	0,806	0,133	0,348	0,468
6,144	2,327	0,554	2,157	0,811	0,158	0,319	0,472
6,160	2,316	0,207	1,485	0,816	0,171	0,286	0,479
6,176	2,245	-0,031	0,970	0,818	0,175	0,254	0,490
6,192	2,308	-0,066	0,634	0,818	0,171	0,225	0,504
6,208	2,326	0,146	0,568	0,815	0,161	0,199	0,521
6,224	2,019	0,447	0,871	0,809	0,143	0,177	0,541
6,240	1,401	0,704	1,415	0,803	0,119	0,160	0,561
6,256	0,669	0,860	1,983	0,797	0,094	0,148	0,578
6,272	0,015	0,907	2,408	0,793	0,072	0,144	0,589
6,288	-0,458	0,862	2,583	0,792	0,056	0,145	0,592
6,304	-0,728	0,752	2,489	0,795	0,046	0,150	0,588
6,320	-0,803	0,608	2,182	0,802	0,043	0,154	0,577
6,336	-0,702	0,449	1,759	0,812	0,044	0,159	0,560
6,352	-0,425	0,254	1,294	0,827	0,048	0,164	0,536
6,368	-0,080	0,044	0,977	0,841	0,053	0,169	0,511
6,384	0,271	-0,196	0,775	0,855	0,057	0,174	0,484
6,400	0,558	-0,423	0,639	0,869	0,060	0,180	0,457
6,416	0,764	-0,579	0,533	0,883	0,062	0,186	0,429
6,432	0,900	-0,641	0,457	0,894	0,063	0,193	0,402
